Electricity Pricing [£/kWh],6h Prediction Electricity Pricing [£/kWh],12h Prediction Electricity Pricing [£/kWh],24h Prediction Electricity Pricing [£/kWh]
0.1968,0.1674,0.2067,0.1962
0.1767,0.1895,0.2128,0.1747
0.1685,0.1863,0.1814,0.17
0.1677,0.1903,0.1683,0.162
0.1677,0.2002,0.17,0.1684
0.1639,0.212,0.3278,0.1511
0.1674,0.2067,0.338,0.1712
0.1895,0.2128,0.35,0.1939
0.1863,0.1814,0.2185,0.2088
0.1903,0.1683,0.1962,0.235
0.2002,0.17,0.1984,0.2238
0.212,0.3278,0.1918,0.1861
0.2067,0.338,0.1962,0.1716
0.2128,0.35,0.1747,0.1689
0.1814,0.2185,0.17,0.1637
0.1683,0.1962,0.162,0.167
0.17,0.1984,0.1684,0.1654
0.3278,0.1918,0.1511,0.2987
0.338,0.1962,0.1712,0.3261
0.35,0.1747,0.1939,0.3388
0.2185,0.17,0.2088,0.2271
0.1962,0.162,0.235,0.2153
0.1984,0.1684,0.2238,0.2238
0.1918,0.1511,0.1861,0.2117
0.1962,0.1712,0.1716,0.2126
0.1747,0.1939,0.1689,0.1954
0.17,0.2088,0.1637,0.1777
0.162,0.235,0.167,0.1566
0.1684,0.2238,0.1654,0.1645
0.1511,0.1861,0.2987,0.1616
0.1712,0.1716,0.3261,0.1559
0.1939,0.1689,0.3388,0.1658
0.2088,0.1637,0.2271,0.1797
0.235,0.167,0.2153,0.1919
0.2238,0.1654,0.2238,0.2177
0.1861,0.2987,0.2117,0.2011
0.1716,0.3261,0.2126,0.1918
0.1689,0.3388,0.1954,0.1784
0.1637,0.2271,0.1777,0.1586
0.167,0.2153,0.1566,0.1555
0.1654,0.2238,0.1645,0.15
0.2987,0.2117,0.1616,0.2892
0.3261,0.2126,0.1559,0.3272
0.3388,0.1954,0.1658,0.35
0.2271,0.1777,0.1797,0.2337
0.2153,0.1566,0.1919,0.2305
0.2238,0.1645,0.2177,0.2356
0.2117,0.1616,0.2011,0.2095
0.2126,0.1559,0.1918,0.2361
0.1954,0.1658,0.1784,0.2007
0.1777,0.1797,0.1586,0.184
0.1566,0.1919,0.1555,0.1728
0.1645,0.2177,0.15,0.1735
0.1616,0.2011,0.2892,0.1746
0.1559,0.1918,0.3272,0.1746
0.1658,0.1784,0.35,0.1695
0.1797,0.1586,0.2337,0.1521
0.1919,0.1555,0.2305,0.1852
0.2177,0.15,0.2356,0.209
0.2011,0.2892,0.2095,0.1951
0.1918,0.3272,0.2361,0.183
0.1784,0.35,0.2007,0.1874
0.1586,0.2337,0.184,0.1841
0.1555,0.2305,0.1728,0.1654
0.15,0.2356,0.1735,0.151
0.2892,0.2095,0.1746,0.3091
0.3272,0.2361,0.1746,0.3143
0.35,0.2007,0.1695,0.3489
0.2337,0.184,0.1521,0.2403
0.2305,0.1728,0.1852,0.2452
0.2356,0.1735,0.209,0.2426
0.2095,0.1746,0.1951,0.2303
0.2361,0.1746,0.183,0.2073
0.2007,0.1695,0.1874,0.176
0.184,0.1521,0.1841,0.1738
0.1728,0.1852,0.1654,0.1729
0.1735,0.209,0.151,0.1742
0.1746,0.1951,0.3091,0.1742
0.1746,0.183,0.3143,0.1715
0.1695,0.1874,0.3489,0.183
0.1521,0.1841,0.2403,0.1982
0.1852,0.1654,0.2452,0.2408
0.209,0.151,0.2426,0.2402
0.1951,0.3091,0.2303,0.2098
0.183,0.3143,0.2073,0.1885
0.1874,0.3489,0.176,0.1819
0.1841,0.2403,0.1738,0.1762
0.1654,0.2452,0.1729,0.1721
0.151,0.2426,0.1742,0.1707
0.3091,0.2303,0.1742,0.3397
0.3143,0.2073,0.1715,0.35
0.3489,0.176,0.183,0.35
0.2403,0.1738,0.1982,0.2622
0.2452,0.1729,0.2408,0.2463
0.2426,0.1742,0.2402,0.2235
0.2303,0.1742,0.2098,0.2009
0.2073,0.1715,0.1885,0.2095
0.176,0.183,0.1819,0.1844
0.1738,0.1982,0.1762,0.1813
0.1729,0.2408,0.1721,0.1791
0.1742,0.2402,0.1707,0.1766
0.1742,0.2098,0.3397,0.1764
0.1715,0.1885,0.35,0.1818
0.183,0.1819,0.35,0.2026
0.1982,0.1762,0.2622,0.2231
0.2408,0.1721,0.2463,0.2481
0.2402,0.1707,0.2235,0.2414
0.2098,0.3397,0.2009,0.1967
0.1885,0.35,0.2095,0.2042
0.1819,0.35,0.1844,0.1929
0.1762,0.2622,0.1813,0.1816
0.1721,0.2463,0.1791,0.1905
0.1707,0.2235,0.1766,0.192
0.3397,0.2009,0.1764,0.35
0.35,0.2095,0.1818,0.35
0.35,0.1844,0.2026,0.35
0.2622,0.1813,0.2231,0.2866
0.2463,0.1791,0.2481,0.2736
0.2235,0.1766,0.2414,0.2624
0.2009,0.1764,0.1967,0.2205
0.2095,0.1818,0.2042,0.2182
0.1844,0.2026,0.1929,0.2036
0.1813,0.2231,0.1816,0.182
0.1791,0.2481,0.1905,0.1754
0.1766,0.2414,0.192,0.1709
0.1764,0.1967,0.35,0.1709
0.1818,0.2042,0.35,0.1944
0.2026,0.1929,0.35,0.191
0.2231,0.1816,0.2866,0.2538
0.2481,0.1905,0.2736,0.2794
0.2414,0.192,0.2624,0.276
0.1967,0.35,0.2205,0.2566
0.2042,0.35,0.2182,0.2393
0.1929,0.35,0.2036,0.2272
0.1816,0.2866,0.182,0.2183
0.1905,0.2736,0.1754,0.2139
0.192,0.2624,0.1709,0.2183
0.35,0.2205,0.1709,0.35
0.35,0.2182,0.1944,0.35
0.35,0.2036,0.191,0.35
0.2866,0.182,0.2538,0.2953
0.2736,0.1754,0.2794,0.2789
0.2624,0.1709,0.276,0.2668
0.2205,0.1709,0.2566,0.2348
0.2182,0.1944,0.2393,0.2051
0.2036,0.191,0.2272,0.1876
0.182,0.2538,0.2183,0.1764
0.1754,0.2794,0.2139,0.1706
0.1709,0.276,0.2183,0.1709
0.1709,0.2566,0.35,0.1712
0.1944,0.2393,0.35,0.175
0.191,0.2272,0.35,0.1918
0.2538,0.2183,0.2953,0.2263
0.2794,0.2139,0.2789,0.2602
0.276,0.2183,0.2668,0.2679
0.2566,0.35,0.2348,0.2261
